C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
2.0,0.1,poly,poly,17,0.7801418439716312,0.051094890510948905
2.0,1.0,linear,linear,7,0.8333333333333334,0.45714285714285713
2.0,1.0,linear,linear,12,0.7304964539007093,0.4318181818181818
2.0,1.0,linear,linear,17,0.6666666666666666,0.3356643356643357
2.0,1.0,linear,rbf,7,0.8652482269503546,0.6
2.0,1.0,linear,rbf,12,0.7375886524822695,0.3522727272727273
2.0,1.0,linear,rbf,17,0.7269503546099291,0.40425531914893614
2.0,1.0,linear,sigmoid,7,0.8617021276595744,0.34285714285714286
2.0,1.0,linear,sigmoid,12,0.7198581560283688,0.47126436781609193
2.0,1.0,linear,sigmoid,17,0.6347517730496454,0.34615384615384615
2.0,1.0,linear,poly,7,0.8475177304964538,0.4146341463414634
2.0,1.0,linear,poly,12,0.7198581560283688,0.25301204819277107
2.0,1.0,linear,poly,17,0.6985815602836879,0.1746031746031746
2.0,1.0,rbf,linear,7,0.8546099290780141,0.375
2.0,1.0,rbf,linear,12,0.75177304964539,0.4177215189873418
2.0,1.0,rbf,linear,17,0.7198581560283688,0.424
2.0,1.0,rbf,rbf,7,0.8617021276595744,0.375
2.0,1.0,rbf,rbf,12,0.7624113475177305,0.3132530120481928
2.0,1.0,rbf,rbf,17,0.7021276595744681,0.35251798561151076
2.0,1.0,rbf,sigmoid,7,0.8900709219858156,0.45714285714285713
2.0,1.0,rbf,sigmoid,12,0.7659574468085106,0.4430379746835443
2.0,1.0,rbf,sigmoid,17,0.7304964539007093,0.3475177304964539
2.0,1.0,rbf,poly,7,0.8829787234042553,0.5
2.0,1.0,rbf,poly,12,0.75177304964539,0.22666666666666666
2.0,1.0,rbf,poly,17,0.6985815602836879,0.22302158273381295
2.0,1.0,sigmoid,linear,7,0.8617021276595744,0.4146341463414634
2.0,1.0,sigmoid,linear,12,0.7411347517730497,0.27058823529411763
2.0,1.0,sigmoid,linear,17,0.6737588652482269,0.3488372093023256
2.0,1.0,sigmoid,rbf,7,0.8120567375886525,0.41509433962264153
2.0,1.0,sigmoid,rbf,12,0.7553191489361702,0.3625
2.0,1.0,sigmoid,rbf,17,0.6737588652482269,0.4
2.0,1.0,sigmoid,sigmoid,7,0.8723404255319149,0.4166666666666667
2.0,1.0,sigmoid,sigmoid,12,0.7269503546099291,0.3902439024390244
2.0,1.0,sigmoid,sigmoid,17,0.7198581560283688,0.4166666666666667
2.0,1.0,sigmoid,poly,7,0.851063829787234,0.47619047619047616
2.0,1.0,sigmoid,poly,12,0.7588652482269503,0.20987654320987653
2.0,1.0,sigmoid,poly,17,0.7092198581560284,0.1347517730496454
2.0,1.0,poly,linear,7,0.8404255319148937,0.5
2.0,1.0,poly,linear,12,0.723404255319149,0.30120481927710846
2.0,1.0,poly,linear,17,0.6950354609929078,0.38636363636363635
2.0,1.0,poly,rbf,7,0.8439716312056738,0.5
2.0,1.0,poly,rbf,12,0.7198581560283688,0.4069767441860465
2.0,1.0,poly,rbf,17,0.7340425531914894,0.43795620437956206
2.0,1.0,poly,sigmoid,7,0.851063829787234,0.43902439024390244
2.0,1.0,poly,sigmoid,12,0.7375886524822695,0.39473684210526316
2.0,1.0,poly,sigmoid,17,0.7659574468085106,0.39705882352941174
2.0,1.0,poly,poly,7,0.8723404255319149,0.47368421052631576
2.0,1.0,poly,poly,12,0.6879432624113475,0.29213483146067415
2.0,1.0,poly,poly,17,0.6950354609929078,0.1732283464566929
2.0,2.0,linear,linear,7,0.8475177304964538,0.275
2.0,2.0,linear,linear,12,0.7198581560283688,0.42857142857142855
2.0,2.0,linear,linear,17,0.6524822695035462,0.4016393442622951
2.0,2.0,linear,rbf,7,0.8049645390070922,0.49056603773584906
2.0,2.0,linear,rbf,12,0.6808510638297872,0.40816326530612246
2.0,2.0,linear,rbf,17,0.6914893617021277,0.4461538461538462
2.0,2.0,linear,sigmoid,7,0.8475177304964538,0.45
2.0,2.0,linear,sigmoid,12,0.7198581560283688,0.4675324675324675
